Input,UnstructuredText,StructuredText,Material,Colour,Weight,Volume,Length,Width,Height,Parts
"MAXPOWER 8oz Tubular Steel Claw Hammer, Polished Carbon Steel & Fiberglass Handle with Rubber Grip, 225g
🔨 FIRST CHOICE: For DIY projects with tools, you definitely need to use high-quality manual tools to complete the work. Of course, our claw hammer is also your best choice.
🔨 MATERIAL: This 8Oz claw hammer combines a polished carbon steel and fiberglass core with a comfortable and ergonomic grip to ensure that you can use it freely when working.
🔨 APPLICABLE: Our claw hammers are suitable for various applications, including splitting, prying, lifting and tearing. One-piece forging provides strength and can be reused!
🔨 COMFORT: this straight claw hammer with a textured rubber grip to prevent hand fatigue, and have comfortable ergonomic design, perfect balance, and provide professional results!
🔨 SERVICE: We also have a complete after-sales system. If you have any questions, please contact us in time, we will try our best to solve the problem for you. Even if it is a tool, be kind to it. 💗
Manufacturer MAXPOWER
Part Number MAXPOWER
Package Dimensions 29.5 x 11.4 x 3.4 cm; 460 Grams
Item model number M24233
Colour Claw Hammer
Batteries included? No
Batteries Required? No
Item Weight 460 g
","MAXPOWER 8oz Tubular Steel Claw Hammer, Polished Carbon Steel & Fiberglass Handle with Rubber Grip, 225g
🔨 FIRST CHOICE: For DIY projects with tools, you definitely need to use high-quality manual tools to complete the work. Of course, our claw hammer is also your best choice.
🔨 MATERIAL: This 8Oz claw hammer combines a polished carbon steel and fiberglass core with a comfortable and ergonomic grip to ensure that you can use it freely when working.
🔨 APPLICABLE: Our claw hammers are suitable for various applications, including splitting, prying, lifting and tearing. One-piece forging provides strength and can be reused!
🔨 COMFORT: this straight claw hammer with a textured rubber grip to prevent hand fatigue, and have comfortable ergonomic design, perfect balance, and provide professional results!
🔨 SERVICE: We also have a complete after-sales system. If you have any questions, please contact us in time, we will try our best to solve the problem for you. Even if it is a tool, be kind to it. 💗
","Manufacturer MAXPOWER
Part Number MAXPOWER
Package Dimensions 29.5 x 11.4 x 3.4 cm; 460 Grams
Item model number M24233
Colour Claw Hammer
Batteries included? No
Batteries Required? No
Item Weight 460 g
",metal,other,460g,other,29.5,11.4,3.4,handle
"Rolson Stubby Claw Hammer
Extra strong high grade carbon steel
Soft rubber grip
Magnetized nail holder
Units 1 count
Brand Rolson
","Rolson Stubby Claw Hammer
Extra strong high grade carbon steel
Soft rubber grip
Magnetized nail holder
","Units 1 count
Brand Rolson
",metal,other,other,other,other,other,other,other
"STANLEY STHT0-51310 20oz Fiberglass Curved Claw Hammer, 570g
Fiberglass core for strength and durability
Improved overstrike protection for longer life
Enhanced bi-material grip
Peel resistant for longer life
Claw for prying and Nail removal
Item weight : 560 grams
Manufacturer Stanley Black & Decker
Part Number STHT0-51310
Product Dimensions 35 x 10 x 6.5 cm; 560 Grams
Item model number STHT0-51310
Size 570g (20oz)
Colour N/a
Style Claw Hammer(570g)
Item Package Quantity 1
Number Of Pieces 1
Measurement System Metric
Included Components 20oz Fiberglass Curved Claw Hammer
Batteries included? No
Batteries Required? No
Item Weight 560 g
","STANLEY STHT0-51310 20oz Fiberglass Curved Claw Hammer, 570g
Fiberglass core for strength and durability
Improved overstrike protection for longer life
Enhanced bi-material grip
Peel resistant for longer life
Claw for prying and Nail removal
Item weight : 560 grams
","Manufacturer Stanley Black & Decker
Part Number STHT0-51310
Product Dimensions 35 x 10 x 6.5 cm; 560 Grams
Item model number STHT0-51310
Size 570g (20oz)
Colour N/a
Style Claw Hammer(570g)
Item Package Quantity 1
Number Of Pieces 1
Measurement System Metric
Included Components 20oz Fiberglass Curved Claw Hammer
Batteries included? No
Batteries Required? No
Item Weight 560 g
",plastic,other,560g,20oz,35,10,6.5,other
"DIY Doctor 20z Claw Hammer 567grams | Curved Comfort Grip TPR Finish | Solid Forged Steel & Non Slip Grip - Fibreglass Shaft
FIBREGLASS CORE - Ideal for strength and long term durability. Dampens the power of the strike reducing the stress on wrist and hands.
TPR COMFORT GRIP COVER - Made for those that hammer for long periods. Softer to the touch than the average hammer and the TPR ensures a grippy hold.
NAIL REMOVAL CLAW - Designed for those nails that don't quite go in right.
20oz / 567g - Covers every possible use. From the small everyday household DIY project to full scale building projects.
Manufacturer Medipaq
Package Dimensions 32.4 x 15.6 x 4.5 cm; 830 Grams
Item Package Quantity 1
Included Components 1 Hammer
Batteries included? No
Batteries Required? No
Item Weight 830 g
","DIY Doctor 20z Claw Hammer 567grams | Curved Comfort Grip TPR Finish | Solid Forged Steel & Non Slip Grip - Fibreglass Shaft
FIBREGLASS CORE - Ideal for strength and long term durability. Dampens the power of the strike reducing the stress on wrist and hands.
TPR COMFORT GRIP COVER - Made for those that hammer for long periods. Softer to the touch than the average hammer and the TPR ensures a grippy hold.
NAIL REMOVAL CLAW - Designed for those nails that don't quite go in right.
20oz / 567g - Covers every possible use. From the small everyday household DIY project to full scale building projects.
","Manufacturer Medipaq
Package Dimensions 32.4 x 15.6 x 4.5 cm; 830 Grams
Item Package Quantity 1
Included Components 1 Hammer
Batteries included? No
Batteries Required? No
Item Weight 830 g
",metal,other,830g,20oz,32.4,15.6,4.5,other
"MAXPOWER 8oz Tubular Steel Claw Hammer, Polished Carbon Steel & Fiberglass Handle with Rubber Grip, 225g
🔨 FIRST CHOICE: For DIY projects with tools, you definitely need to use high-quality manual tools to complete the work. Of course, our claw hammer is also your best choice.
🔨 MATERIAL: This 8Oz claw hammer combines a polished carbon steel and fiberglass core with a comfortable and ergonomic grip to ensure that you can use it freely when working.
🔨 APPLICABLE: Our claw hammers are suitable for various applications, including splitting, prying, lifting and tearing. One-piece forging provides strength and can be reused!
🔨 COMFORT: this straight claw hammer with a textured rubber grip to prevent hand fatigue, and have comfortable ergonomic design, perfect balance, and provide professional results!
🔨 SERVICE: We also have a complete after-sales system. If you have any questions, please contact us in time, we will try our best to solve the problem for you. Even if it is a tool, be kind to it. 💗
Manufacturer MAXPOWER
Part Number MAXPOWER
Package Dimensions 29.5 x 11.4 x 3.4 cm; 460 Grams
Item model number M24233
Colour Claw Hammer
Batteries included? No
Batteries Required? No
Item Weight 460 g
","MAXPOWER 8oz Tubular Steel Claw Hammer, Polished Carbon Steel & Fiberglass Handle with Rubber Grip, 225g
🔨 FIRST CHOICE: For DIY projects with tools, you definitely need to use high-quality manual tools to complete the work. Of course, our claw hammer is also your best choice.
🔨 MATERIAL: This 8Oz claw hammer combines a polished carbon steel and fiberglass core with a comfortable and ergonomic grip to ensure that you can use it freely when working.
🔨 APPLICABLE: Our claw hammers are suitable for various applications, including splitting, prying, lifting and tearing. One-piece forging provides strength and can be reused!
🔨 COMFORT: this straight claw hammer with a textured rubber grip to prevent hand fatigue, and have comfortable ergonomic design, perfect balance, and provide professional results!
🔨 SERVICE: We also have a complete after-sales system. If you have any questions, please contact us in time, we will try our best to solve the problem for you. Even if it is a tool, be kind to it. 💗
","Manufacturer MAXPOWER
Part Number MAXPOWER
Package Dimensions 29.5 x 11.4 x 3.4 cm; 460 Grams
Item model number M24233
Colour Claw Hammer
Batteries included? No
Batteries Required? No
Item Weight 460 g
",metal,other,460g,8oz,29.5,11.4,3.4,handle
"Estwing E3/20c Curved Claw Hammer - Vinyl Grip 20oz
Solid forged from one piece of American Steel for ultimate durability and strength
Curved claw leverage for added torque when pulling and prying nails or boards
Smooth faced hammer head, perfect for interior and finish work
Patented shock reduction grip offers comfort, durability and reduced impact vibrations by 70%
Proudly manufactured in Rockford, USA
Manufacturer Estwing
Part Number E3-20C
Product Dimensions 35.05 x 13.46 x 3.3 cm; 816.47 Grams
Item model number E3-20C
Size 1 - Pack
Style Blue-Handle-Hammer
Item Package Quantity 1
Number Of Pieces 1
Batteries included? No
Batteries Required? No
Item Weight 816 g
","Estwing E3/20c Curved Claw Hammer - Vinyl Grip 20oz
Solid forged from one piece of American Steel for ultimate durability and strength
Curved claw leverage for added torque when pulling and prying nails or boards
Smooth faced hammer head, perfect for interior and finish work
Patented shock reduction grip offers comfort, durability and reduced impact vibrations by 70%
Proudly manufactured in Rockford, USA
","Manufacturer Estwing
Part Number E3-20C
Product Dimensions 35.05 x 13.46 x 3.3 cm; 816.47 Grams
Item model number E3-20C
Size 1 - Pack
Style Blue-Handle-Hammer
Item Package Quantity 1
Number Of Pieces 1
Batteries included? No
Batteries Required? No
Item Weight 816 g
",metal,other,816g,other,35.05,13.46,3.3,other
"Stanley 1-51-488 Blue Strike Claw Hammer, 16 oz
Curved claw head
Made from forged, heat treated steel
Oval tubular steel shaft
Model number: STA151488
Manufacturer Stanley Black & Decker
Part Number 1-51-488
Product Dimensions 13 x 3.51 x 32.51 cm; 801.04 Grams
Item model number 1-51-488
Size 16OZ
Colour Multi-colour
Style Claw Hammer(450g)
Item Package Quantity 1
Number Of Pieces 1
Measurement System Metric
Included Components Claw Hammer
Batteries included? No
Batteries Required? No
Item Weight 801 g
","Stanley 1-51-488 Blue Strike Claw Hammer, 16 oz
Curved claw head
Made from forged, heat treated steel
Oval tubular steel shaft
Model number: STA151488
","Manufacturer Stanley Black & Decker
Part Number 1-51-488
Product Dimensions 13 x 3.51 x 32.51 cm; 801.04 Grams
Item model number 1-51-488
Size 16OZ
Colour Multi-colour
Style Claw Hammer(450g)
Item Package Quantity 1
Number Of Pieces 1
Measurement System Metric
Included Components Claw Hammer
Batteries included? No
Batteries Required? No
Item Weight 801 g
",metal,other,801g,16oz,13,3.51,32.51,other
"Rolson 10334 8 oz Tubular Steel Claw Hammer
8oz Tubular steel claw hammer
Polished head
Rubber grip
Manufacturer Rolson Tools
Part Number 10334
Product Dimensions 11.2 x 2.2 x 27.9 cm; 226.8 Grams
Item model number 10334
Size 8 oz
Finish Polished
Material Alloy Steel, Rubber
Item Package Quantity 1
Batteries included? No
Batteries Required? No
Item Weight 227 g
","Rolson 10334 8 oz Tubular Steel Claw Hammer
8oz Tubular steel claw hammer
Polished head
Rubber grip
","Manufacturer Rolson Tools
Part Number 10334
Product Dimensions 11.2 x 2.2 x 27.9 cm; 226.8 Grams
Item model number 10334
Size 8 oz
Finish Polished
Material Alloy Steel, Rubber
Item Package Quantity 1
Batteries included? No
Batteries Required? No
Item Weight 227 g
",metal,other,227g,8oz,11.2,2.2,27.9,other
"OX OX-P080120 Claw Hammer - Pro Series Claw Hammer with Curved Claw - Non-slip Grip - Multicolour - 20 Oz
Brand OX
Colour Multi-colour
Item dimensions L x W x H 46.8 x 21.8 x 4 centimetres
Weight 0.91 Pounds
FORGED IN ONE PIECE: The OX Claw Hammer has a heat-treated carbon steel construction for enhanced durability and longevity.
SHOCK REDUCTION GRIP: The OX Claw Hammer comes with a non-slip grip which makes the tool slip-resistant and comfortable to work.
DURABLE CLAW HAMMER: The OX Claw Hammer works well in diverse condition for a longer period.
TOUGH AS AN OX: The OX Claw Hammer has a tough, robust construction that incorporates high quality and sharpness.
QUALITY YOU CAN RELY UPON: Engineered with top-notch materials and tested for optimum performance, our products are sure to make the work on the site convenient, smooth and quick.
Manufacturer OX Tools
Part Number P080120
Product Dimensions 46.8 x 21.8 x 4 cm; 412.77 Grams
Item model number OX-P080120
Size 20 oz
Colour Multi-colour
Item Package Quantity 1
Number Of Pieces 1
Measurement System Metric
Included Components 1 x hammer
Batteries included? No
Batteries Required? No
Item Weight 413 g
","OX OX-P080120 Claw Hammer - Pro Series Claw Hammer with Curved Claw - Non-slip Grip - Multicolour - 20 Oz
FORGED IN ONE PIECE: The OX Claw Hammer has a heat-treated carbon steel construction for enhanced durability and longevity.
SHOCK REDUCTION GRIP: The OX Claw Hammer comes with a non-slip grip which makes the tool slip-resistant and comfortable to work.
DURABLE CLAW HAMMER: The OX Claw Hammer works well in diverse condition for a longer period.
TOUGH AS AN OX: The OX Claw Hammer has a tough, robust construction that incorporates high quality and sharpness.
QUALITY YOU CAN RELY UPON: Engineered with top-notch materials and tested for optimum performance, our products are sure to make the work on the site convenient, smooth and quick.
","Brand OX
Colour Multi-colour
Item dimensions L x W x H 46.8 x 21.8 x 4 centimetres
Weight 0.91 Pounds
Manufacturer OX Tools
Part Number P080120
Product Dimensions 46.8 x 21.8 x 4 cm; 412.77 Grams
Item model number OX-P080120
Size 20 oz
Colour Multi-colour
Item Package Quantity 1
Number Of Pieces 1
Measurement System Metric
Included Components 1 x hammer
Batteries included? No
Batteries Required? No
Item Weight 413 g
",metal,other,413g,20oz,46.8,21.8,4,other
"Estwing E3/20c Curved Claw Hammer - Vinyl Grip 20oz
Solid forged from one piece of American Steel for ultimate durability and strength
Curved claw leverage for added torque when pulling and prying nails or boards
Smooth faced hammer head, perfect for interior and finish work
Patented shock reduction grip offers comfort, durability and reduced impact vibrations by 70%
Proudly manufactured in Rockford, USA
Manufacturer Estwing
Part Number E3-20C
Product Dimensions 35.05 x 13.46 x 3.3 cm; 816.47 Grams
Item model number E3-20C
Size 1 - Pack
Style Blue-Handle-Hammer
Item Package Quantity 1
Number Of Pieces 1
Batteries included? No
Batteries Required? No
Item Weight 816 g
","Estwing E3/20c Curved Claw Hammer - Vinyl Grip 20oz
Solid forged from one piece of American Steel for ultimate durability and strength
Curved claw leverage for added torque when pulling and prying nails or boards
Smooth faced hammer head, perfect for interior and finish work
Patented shock reduction grip offers comfort, durability and reduced impact vibrations by 70%
Proudly manufactured in Rockford, USA
","Manufacturer Estwing
Part Number E3-20C
Product Dimensions 35.05 x 13.46 x 3.3 cm; 816.47 Grams
Item model number E3-20C
Size 1 - Pack
Style Blue-Handle-Hammer
Item Package Quantity 1
Number Of Pieces 1
Batteries included? No
Batteries Required? No
Item Weight 816 g
",metal,other,816g,20oz,35.05,13.46,3.3,other
