Input,UnstructuredText,StructuredText,Material,Colour,Weight,Volume,Length,Width,Height,Parts
"Stanley 090947 6in MaxSteel Adjustable Wrench
Brand STANLEY
Item dimensions L x W x H 20.1 x 7.9 x 1.6 centimetres
Material Alloy Steel
Head style Box End
Weight 0.16 Kilograms
Opening up to 25 mm
Length 150 mm
Bi-material handle with increased dimensions
Black phosphated finish
Manufacturer Stanley Black & Decker
Part Number 0-90-947
Product Dimensions 20.09 x 7.9 x 1.6 cm; 160 Grams
Item model number 0-90-947
Size Opening up to 25 mm EU
Style 150mm MAXSTEEL
Material Alloy Steel
Item Package Quantity 1
Number Of Pieces 1
Head Style Box End
Included Components Components included
Batteries included? No
Batteries Required? No
Item Weight 160 g
","Stanley 090947 6in MaxSteel Adjustable Wrench
Opening up to 25 mm
Length 150 mm
Bi-material handle with increased dimensions
Black phosphated finish
","Brand STANLEY
Item dimensions L x W x H 20.1 x 7.9 x 1.6 centimetres
Material Alloy Steel
Head style Box End
Weight 0.16 Kilograms
Manufacturer Stanley Black & Decker
Part Number 0-90-947
Product Dimensions 20.09 x 7.9 x 1.6 cm; 160 Grams
Item model number 0-90-947
Size Opening up to 25 mm EU
Style 150mm MAXSTEEL
Material Alloy Steel
Item Package Quantity 1
Number Of Pieces 1
Head Style Box End
Included Components Components included
Batteries included? No
Batteries Required? No
Item Weight 160 g
",metal,other,160g,other,20.1,7.9,1.6,handle
"SHARP-Tec 250 mm Groove Joint Water Pump Pliers, Adjustable Wrench Plumbing Tools, Tongue-and-Groove Pliers, 90mm Jaw Capacity Pipe Spanner
7 Adjustment Positions Groove Joint Plier: Length: 250mm Jaw: 60mm Size:4.5 * 7.3 * 2.6 (cm)
Tough and Durable: Forge from titanium steel for hardness and toughness. Blackening treatment body for rust-proofing and wear-resistance. Grip is safe, comfortable and non-slip.
Extra Wide Adjustable Jaw: 60-90mm jaw capacity for different sizes of components.
Hand-friendly: the fine adjustment permits a favourable grip width; the pinch protection prevents injuries to hands caused by crushing or pinching
Groove-Joint Plier Usage: All-purpose jaw grips on round, flat, square and hex shapes, ideal for gripping, pulling, tightening & loosening nuts, bolts, pipe & fittings.
Manufacturer SHARP-Tec
Part Number KodaQo-1
Package Dimensions 25.65 x 4.83 x 2.79 cm; 430 Grams
Manufacturer reference KodaQo-1
Material Alloy Steel
Handle material Vinyl
Batteries included? No
Batteries Required? No
Item Weight 430 g
","SHARP-Tec 250 mm Groove Joint Water Pump Pliers, Adjustable Wrench Plumbing Tools, Tongue-and-Groove Pliers, 90mm Jaw Capacity Pipe Spanner
7 Adjustment Positions Groove Joint Plier: Length: 250mm Jaw: 60mm Size:4.5 * 7.3 * 2.6 (cm)
Tough and Durable: Forge from titanium steel for hardness and toughness. Blackening treatment body for rust-proofing and wear-resistance. Grip is safe, comfortable and non-slip.
Extra Wide Adjustable Jaw: 60-90mm jaw capacity for different sizes of components.
Hand-friendly: the fine adjustment permits a favourable grip width; the pinch protection prevents injuries to hands caused by crushing or pinching
Groove-Joint Plier Usage: All-purpose jaw grips on round, flat, square and hex shapes, ideal for gripping, pulling, tightening & loosening nuts, bolts, pipe & fittings.
","Manufacturer SHARP-Tec
Part Number KodaQo-1
Package Dimensions 25.65 x 4.83 x 2.79 cm; 430 Grams
Manufacturer reference KodaQo-1
Material Alloy Steel
Handle material Vinyl
Batteries included? No
Batteries Required? No
Item Weight 430 g
",metal,other,430g,other,25.65,4.83,2.79,other
"Stanley 090948 30 x 200mm MaxSteel Adjustable Wrench
Brand STANLEY
Item dimensions L x W x H 8.7 x 1.3 x 24.5 centimetres
Material Alloy Steel
Head style Box End
Item weight 0.28 Kilograms
Narrow head design for limited space
Alloy-steel body increases strength
Extra-wide jaw capacity
Bi-material handle for a comfortable grip
Ideal for plumbing and general assembly tasks
Brand STANLEY
Model Number 0-90-948
Product Dimensions 8.71 x 1.3 x 24.51 cm; 281 Grams
Material Alloy Steel
Item Weight 281 g
","Stanley 090948 30 x 200mm MaxSteel Adjustable Wrench
Narrow head design for limited space
Alloy-steel body increases strength
Extra-wide jaw capacity
Bi-material handle for a comfortable grip
Ideal for plumbing and general assembly tasks
","Brand STANLEY
Item dimensions L x W x H 8.7 x 1.3 x 24.5 centimetres
Material Alloy Steel
Head style Box End
Item weight 0.28 Kilograms
Brand STANLEY
Model Number 0-90-948
Product Dimensions 8.71 x 1.3 x 24.51 cm; 281 Grams
Material Alloy Steel
Item Weight 281 g
",metal,other,281g,other,8.7,1.3,24.5,handle
"kuou Adjustable Wrenches 6-68mm Wide Jaw Wrench Bathroom Wrench Aluminum Alloy Hand Tools for Tightening or Loosening Nuts and Bolts
Brand Kuou
Material Aluminium
Head style Fixed Square
Operation mode Mechanical
Material: The wrench is made of aluminum alloy, with good toughness, strong clamping force and no slipping
Adjustable Size: The large opening is 16-68mm, the size of the opening can be adjusted by screwing, and the operation is simple
Multifunctional Adjustable Wrench: The wrench has a large capacity, which is more convenient in a narrow space
Design: Ergonomic design, the handle and the pliers head are integrally formed, it is not easy to break, and the handle is comfortable to hold
Application: It is used to tighten and loosen nuts and bolts. It is suitable for applications in pipelines, natural gas industry, plumbing, sanitary engineering, etc.
Manufacturer kuou
Part Number NECALON
Package Dimensions 27 x 12 x 1.8 cm; 380 Grams
Manufacturer reference NECALON
Material Aluminium
Head Style Fixed Square
Batteries Required? No
Item Weight 380 g
","kuou Adjustable Wrenches 6-68mm Wide Jaw Wrench Bathroom Wrench Aluminum Alloy Hand Tools for Tightening or Loosening Nuts and Bolts
Material: The wrench is made of aluminum alloy, with good toughness, strong clamping force and no slipping
Adjustable Size: The large opening is 16-68mm, the size of the opening can be adjusted by screwing, and the operation is simple
Multifunctional Adjustable Wrench: The wrench has a large capacity, which is more convenient in a narrow space
Design: Ergonomic design, the handle and the pliers head are integrally formed, it is not easy to break, and the handle is comfortable to hold
Application: It is used to tighten and loosen nuts and bolts. It is suitable for applications in pipelines, natural gas industry, plumbing, sanitary engineering, etc.
","Brand Kuou
Material Aluminium
Head style Fixed Square
Operation mode Mechanical
Manufacturer kuou
Part Number NECALON
Package Dimensions 27 x 12 x 1.8 cm; 380 Grams
Manufacturer reference NECALON
Material Aluminium
Head Style Fixed Square
Batteries Required? No
Item Weight 380 g
",metal,other,380g,other,27,12,1.8,handle
"Yumi V Wrench Adjustable, 6-68mm Large Opening Wide Jaw Aluminum Alloy Wrench with Short Handle Ultra-Thin Shifting Spanner Tap Plumbing Basin Wrench Hand Repair Tools for Bathroom Washbasin Tube
Brand Yumi V
Material Aluminium
Head style Flat
Weight 220 Grams
Operation mode Mechanical
ERGONOMICALLY DESIGNED - The wrench handle is fully ergonomically designed. The comfortable end has a square hole. It is comfortable to use, can be hung, and has a short handle
ADJUSTABLE WRENCH - This strong but lightweight aluminum spanner has adjustable jaws that open between 6 and 68mm. Wide jaws and a short handle make it just right for tightening the waste back nut on a basin
PRECISION TURBINE DESIGN - The precision turbine slider is closely matched with the worm. The sliding is flexible and fast, the torque is strong, the toughness is good, the adjustment opening is stable, the sliding is easy to adjust quickly, and the working efficiency is improved
HIGH QUALITY - Made of lightweight aluminum alloy, it is sturdy and durable, with strong clamping force, overall heat treatment, good toughness, high torque, and lightweight
WIDELY USED - Suitable for tightening or loosening nuts and bolts, plumbing, tube nut dis-assembly or gas industry, etc
Manufacturer Yumi V
Part Number HTMEKXDFRO9046
Package Dimensions 26.5 x 11.5 x 2 cm; 220 Grams
Manufacturer reference HTMEKXDFRO9046
Material Aluminium
Item Package Quantity 1
Head Style Flat
Batteries included? No
Batteries Required? No
Item Weight 220 g
","Yumi V Wrench Adjustable, 6-68mm Large Opening Wide Jaw Aluminum Alloy Wrench with Short Handle Ultra-Thin Shifting Spanner Tap Plumbing Basin Wrench Hand Repair Tools for Bathroom Washbasin Tube
ERGONOMICALLY DESIGNED - The wrench handle is fully ergonomically designed. The comfortable end has a square hole. It is comfortable to use, can be hung, and has a short handle
ADJUSTABLE WRENCH - This strong but lightweight aluminum spanner has adjustable jaws that open between 6 and 68mm. Wide jaws and a short handle make it just right for tightening the waste back nut on a basin
PRECISION TURBINE DESIGN - The precision turbine slider is closely matched with the worm. The sliding is flexible and fast, the torque is strong, the toughness is good, the adjustment opening is stable, the sliding is easy to adjust quickly, and the working efficiency is improved
HIGH QUALITY - Made of lightweight aluminum alloy, it is sturdy and durable, with strong clamping force, overall heat treatment, good toughness, high torque, and lightweight
WIDELY USED - Suitable for tightening or loosening nuts and bolts, plumbing, tube nut dis-assembly or gas industry, etc
","Brand Yumi V
Material Aluminium
Head style Flat
Weight 220 Grams
Operation mode Mechanical
Manufacturer Yumi V
Part Number HTMEKXDFRO9046
Package Dimensions 26.5 x 11.5 x 2 cm; 220 Grams
Manufacturer reference HTMEKXDFRO9046
Material Aluminium
Item Package Quantity 1
Head Style Flat
Batteries included? No
Batteries Required? No
Item Weight 220 g
",metal,other,220g,other,26.5,11.5,2,handle
"Bahco 9031 Adjustable Wrench, 200mm Length
Brand Bahco
Item dimensions L x W x H 34 x 20.8 x 2.2 centimetres
Material Metal
Head style Box End
Weight 0.35 Kilograms

With left turning screw
Material: High performance alloy steel
Scale in mm for pre-adjusting and accurate measurement

Manufacturer Bahco
Part Number BAH9031
Product Dimensions 34 x 20.8 x 2.2 cm; 345 Grams
Item model number 9031
Size 1 - Pack
Colour Multi
Style STYLE A
Material Metal
Pattern Single
Item Package Quantity 1
Number Of Pieces 1
Head Style Box End
Included Components 1 x BAH9031
Batteries included? No
Batteries Required? No
Item Weight 345 g
","Bahco 9031 Adjustable Wrench, 200mm Length

With left turning screw
Material: High performance alloy steel
Scale in mm for pre-adjusting and accurate measurement

","Brand Bahco
Item dimensions L x W x H 34 x 20.8 x 2.2 centimetres
Material Metal
Head style Box End
Weight 0.35 Kilograms
Manufacturer Bahco
Part Number BAH9031
Product Dimensions 34 x 20.8 x 2.2 cm; 345 Grams
Item model number 9031
Size 1 - Pack
Colour Multi
Style STYLE A
Material Metal
Pattern Single
Item Package Quantity 1
Number Of Pieces 1
Head Style Box End
Included Components 1 x BAH9031
Batteries included? No
Batteries Required? No
Item Weight 345 g
",metal,other,345g,other,34,20.8,2.2,other
"Stanley MaxSteel Adjustable Wrench 250mm STA090949
Brand STANLEY
Item dimensions L x W x H 9.5 x 1.5 x 29.5 centimetres
Material Alloy Steel
Head style Box End
Weight 0.98 Pounds
Narrow head design for limited space
Alloy-steel body increases strength
Extra-wide jaw capacity
Bi-material handle for a comfortable grip
Ideal for plumbing and general assembly tasks
Manufacturer Stanley Black & Decker
Part Number 0-90-949
Product Dimensions 9.5 x 1.5 x 29.49 cm; 444.07 Grams
Item model number 0-90-949
Material Alloy Steel
Item Package Quantity 1
Number Of Pieces 1
Head Style Box End
Included Components Components included
Batteries included? No
Batteries Required? No
Item Weight 444 g
","Stanley MaxSteel Adjustable Wrench 250mm STA090949
Narrow head design for limited space
Alloy-steel body increases strength
Extra-wide jaw capacity
Bi-material handle for a comfortable grip
Ideal for plumbing and general assembly tasks
","Brand STANLEY
Item dimensions L x W x H 9.5 x 1.5 x 29.5 centimetres
Material Alloy Steel
Head style Box End
Weight 0.98 Pounds
Manufacturer Stanley Black & Decker
Part Number 0-90-949
Product Dimensions 9.5 x 1.5 x 29.49 cm; 444.07 Grams
Item model number 0-90-949
Material Alloy Steel
Item Package Quantity 1
Number Of Pieces 1
Head Style Box End
Included Components Components included
Batteries included? No
Batteries Required? No
Item Weight 444 g
",metal,other,444g,other,9.5,1.5,29.5,handle
"Draper Redline 67589 150 mm Soft Grip Adjustable Wrench
Brand Draper
Item dimensions L x W x H 21.6 x 7.1 x 1.8 centimetres
Material Carbon Steel
Head style Box End
Weight 140 Grams
Crescent-type wrenches forged from carbon steel hardened
Tempered and chrome plated
Soft grip handle
Manufacturer Draper REDLINE
Part Number 67589
Product Dimensions 21.6 x 7.1 x 1.8 cm; 140 Grams
Item model number 67589
Size 150 mm
Colour Red
Material Carbon Steel
Item Package Quantity 1
Head Style Box End
Included Components Draper 150mm Soft Grip Adjustable Wrench
Batteries included? No
Batteries Required? No
Item Weight 140 g
","Draper Redline 67589 150 mm Soft Grip Adjustable Wrench
Crescent-type wrenches forged from carbon steel hardened
Tempered and chrome plated
Soft grip handle
","Brand Draper
Item dimensions L x W x H 21.6 x 7.1 x 1.8 centimetres
Material Carbon Steel
Head style Box End
Weight 140 Grams
Manufacturer Draper REDLINE
Part Number 67589
Product Dimensions 21.6 x 7.1 x 1.8 cm; 140 Grams
Item model number 67589
Size 150 mm
Colour Red
Material Carbon Steel
Item Package Quantity 1
Head Style Box End
Included Components Draper 150mm Soft Grip Adjustable Wrench
Batteries included? No
Batteries Required? No
Item Weight 140 g
",metal,red,140g,other,21.6,7.1,1.8,handle
"Amazon Basics 3/8-Inch Drive Click Torque Wrench - 20.4-108.5 Nm
Brand Amazon Basics
Item dimensions L x W x H 40 x 8.9 x 6 centimetres
Material Chrome Vanadium Steel, Plastic
Finish type Polished
Head style Fixed Square
3/8"" drive torque wrench with 20.4-108.5 Nm range
Durable ratchet head made from hardened treated Chrome Vanadium steel alloy (Cr-V); bright, full polish chrome finish wipes easily clean and resists rust and corrosion
High contrast and dual range scale pre-calibrated to ± 4%
Includes sturdy plastic case for storage and portability
Manufacturer Amazon Basics
Part Number DS-DTW-3
Product Dimensions 40.01 x 8.89 x 5.97 cm; 1.11 Kilograms
Item model number DS-DTW-3
Size 15-80 ft.-lb
Style 20.4-108.5 Nm
Finish Polished
Material Chrome Vanadium Steel, Plastic
Pattern Single
Item Package Quantity 1
Head Style Fixed Square
Batteries Required? No
Item Weight 1.11 kg
","Amazon Basics 3/8-Inch Drive Click Torque Wrench - 20.4-108.5 Nm
3/8"" drive torque wrench with 20.4-108.5 Nm range
Durable ratchet head made from hardened treated Chrome Vanadium steel alloy (Cr-V); bright, full polish chrome finish wipes easily clean and resists rust and corrosion
High contrast and dual range scale pre-calibrated to ± 4%
Includes sturdy plastic case for storage and portability
","Brand Amazon Basics
Item dimensions L x W x H 40 x 8.9 x 6 centimetres
Material Chrome Vanadium Steel, Plastic
Finish type Polished
Head style Fixed Square
Manufacturer Amazon Basics
Part Number DS-DTW-3
Product Dimensions 40.01 x 8.89 x 5.97 cm; 1.11 Kilograms
Item model number DS-DTW-3
Size 15-80 ft.-lb
Style 20.4-108.5 Nm
Finish Polished
Material Chrome Vanadium Steel, Plastic
Pattern Single
Item Package Quantity 1
Head Style Fixed Square
Batteries Required? No
Item Weight 1.11 kg
",metal,other,1.11kg,other,40,8.9,6,other
"Multi-Function Magic Wrench Universal Adjustable auto-ratcheting Works as Reversible Ratchet pop Socket Combination & Pipe Monkey Spanner SAE Crescent nut Gear-Wrench Set for Craftsman & Plumbers
Brand MAGIC WRENCH
Material Brass, Carbon Steel, Plastic, Iron, Aluminium
Head style Fixed Square, Hex
Weight 0.7 Kilograms
Operation mode Mechanical
【Magic Wrench】is an Original Korean made multi-purpose self- adjust double heads ratcheting all in one wrench ( As Seen On TV ) that automatically adapt for tightening and loosening objects in a numerous range of sizes and shapes with ratchet feature that allow a quick repeatedly clamps & releases done using one hand with better grip, it comes with plastic pouch for better protection and easy carrying and storage 【Special Design, Perfect Structure】 Magic wrench is a heavy duty high quality tool,
if you've ever had to waste time searching for the right tool for the job then you know how frustrating make it be with the magic wrench you can easily remove any nut or bolt in just seconds without the need for any other tool big bolt small bolt, brass bolts rusted bolts stripped bolts and even pipe fitting the magic wrench can remove them all
with wrong tool you can easily damage the nut or bolt the teeth of the magic wrench are engineered to give it a pitbull like breed it grabs and doesn't let go, the magic wrench grab so well you can even remove nuts or bolts that have been completely stripped that other tools can't remove
the magic wrench is a must-have for every tool kit no more searching around for the right tool no more wasted time
no more hassles with magic wrench you no longer to haul all your tools around in your car or truck you can simplify with just one magic wrench, the magic wrench is no cheap disposable gadget, the magic wrench is a tough contractor great tool you can count on for all your tough jobs
Manufacturer HAN-A TOOLS
Part Number WR-7000
Package Dimensions 31.2 x 7.5 x 3.7 cm; 700 Grams
Manufacturer reference WR-7000
Size 9~45mm
Colour Sliver
Material Brass, Carbon Steel, Plastic, Iron, Aluminium
Item Package Quantity 1
Head Style Fixed Square, Hex
Number of handles 1
Batteries included? No
Batteries Required? No
Item Weight 700 g
","Multi-Function Magic Wrench Universal Adjustable auto-ratcheting Works as Reversible Ratchet pop Socket Combination & Pipe Monkey Spanner SAE Crescent nut Gear-Wrench Set for Craftsman & Plumbers
【Magic Wrench】is an Original Korean made multi-purpose self- adjust double heads ratcheting all in one wrench ( As Seen On TV ) that automatically adapt for tightening and loosening objects in a numerous range of sizes and shapes with ratchet feature that allow a quick repeatedly clamps & releases done using one hand with better grip, it comes with plastic pouch for better protection and easy carrying and storage 【Special Design, Perfect Structure】 Magic wrench is a heavy duty high quality tool,
if you've ever had to waste time searching for the right tool for the job then you know how frustrating make it be with the magic wrench you can easily remove any nut or bolt in just seconds without the need for any other tool big bolt small bolt, brass bolts rusted bolts stripped bolts and even pipe fitting the magic wrench can remove them all
with wrong tool you can easily damage the nut or bolt the teeth of the magic wrench are engineered to give it a pitbull like breed it grabs and doesn't let go, the magic wrench grab so well you can even remove nuts or bolts that have been completely stripped that other tools can't remove
the magic wrench is a must-have for every tool kit no more searching around for the right tool no more wasted time
no more hassles with magic wrench you no longer to haul all your tools around in your car or truck you can simplify with just one magic wrench, the magic wrench is no cheap disposable gadget, the magic wrench is a tough contractor great tool you can count on for all your tough jobs
","Brand MAGIC WRENCH
Material Brass, Carbon Steel, Plastic, Iron, Aluminium
Head style Fixed Square, Hex
Weight 0.7 Kilograms
Operation mode Mechanical
Manufacturer HAN-A TOOLS
Part Number WR-7000
Package Dimensions 31.2 x 7.5 x 3.7 cm; 700 Grams
Manufacturer reference WR-7000
Size 9~45mm
Colour Sliver
Material Brass, Carbon Steel, Plastic, Iron, Aluminium
Item Package Quantity 1
Head Style Fixed Square, Hex
Number of handles 1
Batteries included? No
Batteries Required? No
Item Weight 700 g
",metal,silver,700g,other,31.2,7.5,3.7,handle
